,,,,,,,,,,,,,,,,,
企業名,中業界(メイン),中業界(サブ),本社所在地_都道府県,本社所在地,従業員数（範囲）,資本金（範囲）,売上（範囲）,企業HP,問い合わせフォーム,代表電話番号,代表メールアドレス,,,送信可否,日付,送信不可理由,
サスメド株式会社,Webアプリ・サービス運営,"受託開発,その他医療・福祉",東京都,東京都中央区日本橋本町３丁目７番２号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.susmed.co.jp/,https://www.susmed.co.jp/contact/,,support@susmed.co.jp,,,送信成功,2026/07/16,,
株式会社クリュートメディカルシステムズ,医療機器,,東京都,東京都千代田区三番町８番地１三番町東急ビル,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://www.crewt.co.jp/,https://www.crewt.co.jp/inquiry,03-5579-2998,,,,送信成功,2026/07/16,,
Ｎｅｔｓｋｏｐｅ　Ｊａｐａｎ株式会社,情報セキュリティ,"クラウド系/SaaS/ASPサービス,ソフトウェア販売,Webアプリ・サービス運営",東京都,東京都千代田区丸の内１丁目５番１号新丸の内ビルディング１０階ＥＧＧ・ＪＡＰＡＮ内,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,,,,,,,送信不可,, お問い合わせフォーム無し,
株式会社Ｇａｒａｇｅ,ゲーム開発,"経営コンサル,動画制作・CG制作,デザイン",東京都,東京都新宿区新宿１丁目２０番２号,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,http://grg.jp,http://grg.jp/contact.html,03-6380-4072,info@grg.jp,,,送信成功,2026/07/16,,
株式会社アクティバリューズ,Webアプリ・サービス運営,,東京都,東京都渋谷区千駄ヶ谷５丁目２３番１５号,4: 50人以上~300人未満,,2: 3億円以上~10億円未満,https://activalues.com/about,https://activalues.com/inquiry,,info@activalues.com,,,送信不可,,営業禁止の記載あり,
株式会社Ｓｐｌｉｎｋ,クラウド系/SaaS/ASPサービス,"その他医療・福祉,その他機械",東京都,東京都港区赤坂１丁目１４番１４号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://www.splinkns.com/,http://www.splinkns.com/contact/index.html,,,,,送信成功,2026/07/16,,
ＥＮＧＡＷＡ株式会社,Webアプリ・サービス運営,"デジタル系コンテンツ,CM制作・映像制作,その他コンサル,研究・調査・リサーチ,Webマーケコンサル,販促コンサル,出版",東京都,東京都港区六本木６丁目１０番１号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://engawa.global/,https://engawa.global/contact_mediakit/,03-6432-9948,info@engawa.global,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ＥＣＡＤソリューションズ,Webアプリ・サービス運営,ソフトウェア販売,埼玉県,埼玉県さいたま市中央区新都心４番地３,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.ecad-sol.com/company/company-info/,https://www.ecad-sol.com/other/inquiry_form.php,048-615-6350,es-admin@ecad-sol.com,,,送信成功,2026/07/16,,
株式会社グロースデータ,クラウド系/SaaS/ASPサービス,"その他IT,その他コンサル",東京都,東京都江東区豊洲５丁目６番１５号,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://growthdata.co.jp/,http://data-bridge.co.jp/contact/,045-285-1569,contact@data-bridge.co.jp,,,送信成功,2026/07/16,,
株式会社ビードットメディカル,医療機器,医療コンサル,東京都,東京都江戸川区春江町５丁目１０番１０号,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://bdotmed.co.jp/,,,,,,送信成功,2026/07/16,,
株式会社うちくるアシスト,Webアプリ・サービス運営,,石川県,石川県金沢市福久１丁目１０６番地,4: 50人以上~300人未満,,2: 3億円以上~10億円未満,https://jobsoel.com/,,,,,,送信不可,, お問い合わせフォーム無し,
株式会社Ｒｉｄｇｅ‐ｉ,Webアプリ・サービス運営,受託開発,東京都,東京都千代田区大手町１丁目６番１号,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://ridge-i.com/,,,contact@ridge-i.com,,,送信成功,2026/07/16,,
株式会社Ｇｌｏｂｅｅ,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,出版",東京都,東京都港区東麻布１丁目７番３号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.globee.io/company,http://www.globeejapan.com/contact.html,,,,,送信成功,2026/07/16,,
株式会社ヴェシカ,Webアプリ・サービス運営,"Web制作,動画制作・CG制作,受託開発,ITインフラストラクチャー",東京都,東京都渋谷区千駄ヶ谷４丁目５番１１号,4: 50人以上~300人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://vessica.visulia-g.jp/,https://www.visulia-g.jp/contact/,03-6447-1247,,,,送信不可,, お問い合わせフォーム無し,
Ｈｍｃｏｍｍ株式会社,Webアプリ・サービス運営,,東京都,東京都港区浜松町２丁目１０番６号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://hmcom.co.jp/company/profile_access/,https://hmcom.co.jp/contact/,03-6550-9830,info@hmcom.co.jp,,,送信不可,,送信ボタンを押すことができない・エラー,
株式会社Ａｍａｚｉｎｇ,Webアプリ・サービス運営,,京都府,京都府京都市中京区梅忠町２０番地１烏丸アネックス２－９１５,4: 50人以上~300人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://amazinginc.jp,,075-200-1140,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,このサイトにアクセスできません
フロッグウェル株式会社,Webアプリ・サービス運営,"その他IT,その他コンサル",東京都,東京都港区赤坂１丁目１１番４４号,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://frogwell.co.jp/corporation/,http://www.frogwell.co.jp/contact/,03-5843-6428,info@frogwell.jp,,,送信成功,2026/07/16,,
しくみ製作所株式会社,クラウド系/SaaS/ASPサービス,,北海道,北海道札幌市中央区南一条西１６丁目１番３２３号,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://sikmi.com,,,,,,送信成功,2026/07/16,,
株式会社イリンクス,ゲーム開発,,東京都,東京都品川区上大崎２丁目２５番２号,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,http://www.ilinx.co.jp/about_us,http://www.ilinx.co.jp/contact,,,,,送信成功,2026/07/16,,
株式会社ブレインスリープ,Webアプリ・サービス運営,経営コンサル,東京都,東京都千代田区丸の内２丁目７番２号,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,https://brain-sleep.com/pages/corporate,https://brain-sleep.com/contact/,,info_sleeplab@brain-sleep.com,,,送信成功,2026/07/16,,
株式会社トラストメディア,Webアプリ・サービス運営,"デジタル系コンテンツ,総合広告代理店,出版",東京都,東京都江東区亀戸１丁目８番５号小林ビルディング２階,4: 50人以上~300人未満,"0: 5,000万円未満",0: 1億円未満,http://trust-media.jp,,050-5846-5042,info@trust-media.jp,,,送信成功,2026/07/16,,
ＷａｌｋＭｅ株式会社,Webアプリ・サービス運営,,東京都,東京都中央区日本橋室町２丁目１番１号日本橋三井タワー６階,4: 50人以上~300人未満,,2: 3億円以上~10億円未満,https://walkme.co.jp/,,,,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ｍａｎｅｂｉ,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,通信教育",東京都,東京都新宿区西新宿２丁目６番１号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://manebi.co.jp/corp/company/,https://manebi.co.jp/contact/,03-6265-6008,info@manebi.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ドクターズプライム,Webアプリ・サービス運営,,東京都,東京都江東区青海１丁目１番２０号,4: 50人以上~300人未満,,2: 3億円以上~10億円未満,https://drsprime.com/,,,support@drsprime.com,,,送信成功,2026/07/16,,
株式会社カウリス,情報セキュリティ,"その他IT,防犯機器",東京都,東京都千代田区大手町１丁目６番１号大手町ビル４階ＦＩＮＯＬＡＢ,4: 50人以上~300人未満,2: 3億円以上~10億円未満,2: 3億円以上~10億円未満,https://caulis.jp/about/company/,https://caulis.jp/contact/,03-4520-7975,info@caulis.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,
クーパーサージカル・ジャパン株式会社,医療機器,"化学機器,その他機械,化学品",神奈川県,神奈川県横浜市中区日本大通１１番,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://coopersurgical-medicaldevice.jp/privacy/,,045-319-6826,,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ウィジェット,Webアプリ・サービス運営,"電子部品,半導体",大阪府,大阪府大阪市淀川区宮原４丁目６番１８号新大阪和幸ビル８階,4: 50人以上~300人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://widget.co.jp/company/profile/,,06-4708-7563,,,,送信成功,2026/07/16,,
株式会社スリースターファクトリー,Webアプリ・サービス運営,"その他広告・制作,その他ゲーム",大阪府,大阪府大阪市中央区今橋１丁目１－３,4: 50人以上~300人未満,,3: 10億円以上~50億円未満,http://threestar-factory.com/,,,,,,送信成功,2026/07/16,,
Ａ１Ａ株式会社,Webアプリ・サービス運営,,東京都,東京都千代田区神田三崎町２丁目６番７号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://a1a.co.jp/,https://a1a.co.jp/contact,,info@a1a.co.jp,,,送信成功,2026/07/16,,
株式会社ＴＯＵＣＨ　ＴＯ　ＧＯ,クラウド系/SaaS/ASPサービス,,東京都,東京都港区高輪２丁目２１番４２号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://ttg.co.jp/company/,,,,,,送信成功,2026/07/16,,
株式会社リブアップ,Webアプリ・サービス運営,"ITインフラストラクチャー,通信設備工事",東京都,東京都立川市錦町１丁目１７－１３サンライズ立川１階,4: 50人以上~300人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.riv-up.com/,,03-5362-7050,info@riv-up.com,,,送信不可,, お問い合わせフォーム無し,
ＧＭＯリザーブプラス株式会社,Webアプリ・サービス運営,,東京都,東京都渋谷区道玄坂１丁目１４番６号,4: 50人以上~300人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://medical-reserve.co.jp/outline,https://inquiry.sys.reserve.ne.jp/db_iejbnon/lp/ifjibnot/,03-6413-0612,,,,送信成功,2026/07/16,,
株式会社エニトグループ,Webアプリ・サービス運営,"その他サービス,その他IT",東京都,東京都渋谷区恵比寿１丁目１９番１９号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://enito.co.jp/who-we-are/,https://enito.co.jp/contact/,,,,,送信不可,, お問い合わせフォーム無し,
株式会社ビルドイット,Webアプリ・サービス運営,ITインフラストラクチャー,東京都,東京都港区芝大門１丁目１０番１１号芝大門センタービル１０階,4: 50人以上~300人未満,,2: 3億円以上~10億円未満,https://www.build-it.co.jp/company/,https://www.build-it.co.jp/contact/,03-6880-9122,,,,送信不可,,メールに遷移・Googleフォーム,
Ｃｌｏｕｄｂａｓｅ株式会社,情報セキュリティ,,東京都,東京都港区三田３丁目２番８号,4: 50人以上~300人未満,2: 3億円以上~10億円未満,2: 3億円以上~10億円未満,https://cloudbase.co.jp/company,,,,,,送信成功,2026/07/16,,
邦友テック株式会社,Webアプリ・サービス運営,"研究・調査・リサーチ,人材派遣,その他コンサル,ソフトウェア販売",愛知県,愛知県名古屋市中区錦１丁目１３番２６号名古屋伏見スクエアビル１０階,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://hoyutech.co.jp/,,052-508-9028,,,,送信成功,2026/07/16,,
情報セキュリティ株式会社,Webアプリ・サービス運営,"ITコンサル,受託開発",兵庫県,兵庫県神戸市中央区東川崎町１丁目３－３,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.isec.ne.jp/company-info/about/,https://isec.ne.jp/contactlists/r-contact/,078-381-8980,inquiry@isec.ne.jp,,,送信成功,2026/07/16,,
株式会社リンケージ,Webアプリ・サービス運営,"その他医療・福祉,人材派遣",東京都,東京都中央区銀座１丁目１９番１４号ＧＩＮＺＡＯＮＥＢＵＩＬＤＩＮＧ７階,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://linkage-inc.co.jp/corporate_profile/,https://linkage-inc.co.jp/contact,03-6452-8915,femcle-support@linkage-inc.co.jp,,,送信成功,2026/07/16,,
株式会社リーディング・ウィン,Webアプリ・サービス運営,"ITインフラストラクチャー,Webアプリ・サービス運営",東京都,東京都豊島区北大塚１丁目１３番４号,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.leadingwin.co.jp/,http://www.leadingwin.co.jp/contact/index.html,03-6903-4838,info@leadingwin.co.jp,,,送信不可,,送信ボタンを押すことができない・エラー,
タイムカプセル株式会社,Webアプリ・サービス運営,,岐阜県,岐阜県岐阜市鹿島町１丁目５番地鹿島スクエアビル１０Ｆ,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://timecapsuleinc.co.jp/office/gifu/,https://timecapsuleinc.org/contact/,058-214-9760,info@timecapsuleinc.co.jp,,,送信不可,,送信ボタンを押すことができない・エラー,
株式会社ヴィッツ沖縄,情報セキュリティ,ITコンサル,沖縄県,沖縄県那覇市銘苅２丁目３番１号,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.oknw.witz-inc.co.jp/,http://www.oknw.witz-inc.co.jp/otoiawase/,098-894-8078,,,,送信成功,2026/07/16,,
株式会社バニッシュ・スタンダード,Webアプリ・サービス運営,"その他IT,Webマーケコンサル,eコマース",東京都,東京都渋谷区神宮前１丁目８番１４号,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.v-standard.com/,http://www.v-standard.com/contact/,03-6419-7647,inquiry.vs@v-standard.com,,,送信不可,,必須項目の入力ができない（情報不足など）,
ナインアウト株式会社,Webアプリ・サービス運営,"業務請負,Webマーケコンサル",東京都,東京都港区赤坂８丁目５番３２号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://jp.creativesurvey.com/,https://creativesurvey.com/form/contact/,03-5770-8715,support@creativesurvey.com,,,送信不可,,営業禁止の記載あり,
株式会社スカイマティクス,Webアプリ・サービス運営,その他IT,東京都,東京都中央区日本橋本石町４丁目２番１６号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://skymatix.co.jp/company/,https://skymatix.co.jp/contact/,,info@skymatix.co.jp,,,送信成功,2026/07/15,,
株式会社バイタルエリア,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,受託開発,その他通信",東京都,東京都港区海岸１丁目２番３号汐留芝離宮ビルディング２１Ｆ,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.vital-area.com/about,https://www.vital-area.com/inquiry.php,03-5403-6483,info@vital-area.com,,,送信成功,2026/07/15,,
株式会社ディーアンドエーコンサルティング,Webアプリ・サービス運営,ITインフラストラクチャー,神奈川県,神奈川県横浜市西区みなとみらい２丁目３番５号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.dacons.co.jp/company/outline/,http://www.dacons.co.jp/contact/,045-651-7470,info@dacons.co.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社ＪＣＧ,クラウド系/SaaS/ASPサービス,その他ゲーム,東京都,東京都江東区豊洲５丁目６番５２号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://jcg.co.jp/,https://www.jcg.co.jp/contact/,,,,,送信成功,2026/07/15,,
株式会社Ｒｕｂｙ開発,Webアプリ・サービス運営,ITコンサル,東京都,東京都渋谷区恵比寿４丁目２０番３号,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.ruby-dev.jp/,https://www.ruby-dev.jp/contact,03-3527-3960,,,,送信成功,2026/07/15,,
ブラックライン株式会社,クラウド系/SaaS/ASPサービス,,東京都,東京都港区赤坂９丁目７番１号ミッドタウンタワー１８階,3: 20人以上~50人未満,,3: 10億円以上~50億円未満,https://www.blackline.jp/company/,https://www.blackline.jp/contact/,03-4540-4310,,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
株式会社グラスホッパー・マニファクチュア,ゲーム開発,,東京都,東京都文京区後楽１丁目４番１４号後楽森ビル１３階,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.grasshopper.co.jp/,https://www.grasshopper.co.jp/contact/,,contact@grasshopper.co.jp,,,送信成功,2026/07/15,,
株式会社ＫＥＹ　ＷＥＳＴ,ゲーム開発,"コンテンツ制作,動画制作・CG制作,ゲーム・アニメデザイン,アミューズメント機器,ソーシャルゲーム・スマホゲーム",大阪府,大阪府大阪市淀川区西宮原２丁目７番３８号,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,http://kw-games.co.jp,http://kw-games.co.jp/contact/,06-6398-5056,,,,送信成功,2026/07/15,,
株式会社マプリィ,Webアプリ・サービス運営,,兵庫県,兵庫県丹波市春日町多田１６５番地,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://mapry.co.jp/company/,https://mapry.co.jp/contact/,,contact@mapry.co.jp,,,送信成功,2026/07/15,,
株式会社ビズリンク,Webアプリ・サービス運営,,東京都,東京都品川区東五反田２丁目３番５号五反田中央ビル８階,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://bizlink.io/about/,https://bizlink.io/contact/,,info@bizlink.io,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
株式会社ＺＥＮ　Ｉｎｔｅｇｒａｔｉｏｎ,Webアプリ・サービス運営,"eコマース,ITインフラストラクチャー,芸能プロダクション・タレント,人材紹介,その他外食,人材派遣",東京都,東京都中央区日本橋馬喰町１丁目５番４号,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,http://www.zen-integration.com,http://www.zen-integration.com/#inquiry,03-5829-8901,contact@zen-integration.com,,,送信不可,, お問い合わせフォーム無し,
株式会社エスマット,Webアプリ・サービス運営,"Webマーケコンサル,販促コンサル,日用品・化粧品商社,経営コンサル",東京都,東京都品川区東五反田２丁目９－５サウスウイング東五反田,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://smartshopping.co.jp/,https://s-mat.co.jp/contact,03-4405-5629,contact-mat@smartshopping.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,お問合せ種別該当なし
アイ・インテグレーション株式会社,Webアプリ・サービス運営,,東京都,東京都港区南青山２丁目１１番１３号南青山ビル６Ｆ,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://i-integration.co.jp/,https://i-integration.co.jp/contact/,03-4570-0228,,,,送信成功,2026/07/15,,
オープラン株式会社,Webアプリ・サービス運営,"デザイン,受託開発",東京都,東京都台東区台東２丁目３番２号ＭＫビル４階,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://oplan.co.jp/index.html,https://oplan.co.jp/contact,03-5829-4906,,,,送信成功,2026/07/15,,
株式会社Ｒｅｓｉｌｉｒｅ,クラウド系/SaaS/ASPサービス,,東京都,東京都港区海岸１丁目７番１号東京ポートシティ竹芝１０Ｆ,3: 20人以上~50人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://corp.resilire.jp/about,https://corp.resilire.jp/contact,,info@resilire.jp,,,送信不可,,営業禁止の記載あり,
株式会社アズテックスシステム,Webアプリ・サービス運営,人材派遣,東京都,東京都千代田区鍛冶町１丁目７番地１１ＫＣＡビル８階,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://aztecs-sys.com/,https://aztecs-sys.com/contact,03-3525-4043,saiyou@aztecs-sys.com,,,送信不可,, お問い合わせフォーム無し,
株式会社エモーションテック,クラウド系/SaaS/ASPサービス,"その他IT,その他コンサル,研究・調査・リサーチ,セミナー,Webアプリ・サービス運営",東京都,東京都港区西新橋１丁目１番１号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://emotion-tech.co.jp/company/outline/,https://lp.emotion-tech.co.jp/inquiry_form,03-6778-4762,info@emotion-tech.co.jp,,,送信不可,,必須項目の入力ができない（情報不足など）,役職
ＲＵＮ．ＥＤＧＥ株式会社,Webアプリ・サービス運営,,東京都,東京都港区赤坂３丁目１７番３号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.run-edge.com/about/,https://www.run-edge.com/contact,,contact@run-edge.com,,,送信成功,2026/07/15,,
ジップラス株式会社,Webアプリ・サービス運営,,東京都,東京都渋谷区神泉町９番５号,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://ziplus.jp/company,https://ziplus.jp/inquiry,03-6261-6010,info@ziplus.jp,,,送信成功,2026/07/15,,
株式会社ＷＨＥＲＥ,Webアプリ・サービス運営,,東京都,東京都港区三田３丁目５番２７号住友不動産東京三田サウスタワー３階,3: 20人以上~50人未満,2: 3億円以上~10億円未満,2: 3億円以上~10億円未満,https://where123.jp/access/,https://where123.jp/contact/,03-6261-5722,info@where123.jp,,,送信成功,2026/07/15,,
株式会社ユニトラスト,Webアプリ・サービス運営,"その他IT,デザイン",東京都,東京都千代田区有楽町１丁目１３番地２,3: 20人以上~50人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.unitrust.co.jp/company,https://www.unitrust.co.jp/contact/,,,,,送信成功,2026/07/15,,
Ｑｕａｎｔｓ株式会社,クラウド系/SaaS/ASPサービス,"クレジット・決済代行,その他金融関連サービス",東京都,東京都新宿区西新宿６丁目８番１号住友不動産新宿オークタワー１２階,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.quants-grp.co.jp/,https://www.hifcorp.co.jp/contact,,hif-info@quants-grp.co.jp,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,安全なサイトではない
株式会社いろはにぽぺと,ゲーム開発,"イベント,デザイン",東京都,東京都渋谷区円山町１５番３号グランエストビル,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://irohanipopeto.com/about/,http://irohanipopeto.com/contact/,03-5937-3439,pr@irohanipopeto.com,,,送信成功,2026/07/15,,
株式会社テンクー,Webアプリ・サービス運営,その他IT,東京都,東京都文京区本郷２丁目４０番８号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://xcoo.co.jp/,https://xcoo.co.jp/about.html,03-3868-2374,info@xcoo.jp,,,送信不可,,営業禁止の記載あり,
日本インプラント株式会社,Webアプリ・サービス運営,,京都府,京都府京都市下京区烏丸通五条上る御供石町３６９番地,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.nihon-implant.co.jp,,075-365-2525,,,,送信不可,, お問い合わせフォーム無し,
カルー株式会社,Webアプリ・サービス運営,"ITコンサル,その他広告・制作,その他医療・福祉",東京都,東京都目黒区中目黒１丁目１番２６号,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://caloo.co.jp/company,https://caloo.jp/contacts/inquiry/business,03-6303-1471,apokul-info@caloo.jp,,,送信成功,2026/07/15,,
共達フォース株式会社,Webアプリ・サービス運営,,東京都,東京都中央区晴海１丁目８番１２号晴海アイランドトリトンスクエアオフィスタワーＺ７Ｆ,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.cncforce.co.jp/access/,https://www.cncforce.co.jp/contact/,,,,,送信不可,,メールに遷移・Googleフォーム,
株式会社エムプラス,Webアプリ・サービス運営,その他医療・福祉,東京都,東京都千代田区平河町２丁目７番２号,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.mplus.inc/company/,https://www.m3.com/inquiry/form.jsp,03-6418-3020,,,,送信不可,, お問い合わせフォーム無し,提案、営業に関するフォームなし
ｔａｌｅｎｔｂｏｏｋ株式会社,Webアプリ・サービス運営,販促コンサル,東京都,東京都渋谷区渋谷２丁目６番６号,3: 20人以上~50人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://talentbook.co.jp/,https://talentbook.co.jp/contact,,,,,送信成功,2026/07/15,,
マイクロフォーカスエンタープライズ株式会社,Webアプリ・サービス運営,クラウド系/SaaS/ASPサービス,東京都,東京都千代田区丸の内１丁目８番３号,3: 20人以上~50人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://www.microfocus-enterprise.co.jp/company/information.html,https://www.opentext.com/jp/contact,03-5635-0872,,,,送信不可,, お問い合わせフォーム無し,提案、営業に関するフォームなし
アラスジャパン合同会社,Webアプリ・サービス運営,Webマーケコンサル,東京都,東京都千代田区有楽町１丁目１番２号東京ミッドタウン日比谷日比谷三井タワー,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://aras.com/ja-jp/company/aras-japan,https://aras.com/ja-jp/company/contact,03-5797-7920,info@aras.jp,,,送信成功,2026/07/15,,
株式会社ケップル,クラウド系/SaaS/ASPサービス,"その他IT,投資",東京都,東京都港区虎ノ門５丁目９番１号,3: 20人以上~50人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://corp.kepple.co.jp/company,https://corp.kepple.co.jp/contact,,,,,送信成功,2026/07/15,,
株式会社ジーン,Webアプリ・サービス運営,"Webマーケコンサル,レディースアパレル販売,メンズアパレル販売",東京都,東京都港区南青山３丁目１番３１号ＫＤ南青山ビル４Ｆ,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://shonanjin.com,https://shonanjin.com/contact-request/,03-6380-6165,info@jeanebooks.com,,,送信成功,2026/07/16,,
富士ウェーブ株式会社,Webアプリ・サービス運営,機械設計,山梨県,山梨県富士吉田市上吉田４９４７番地１,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",0: 1億円未満,https://fujiwaves.co.jp/,https://fujiwaves.co.jp/contact/,077-543-7815,awai@ryutech.com,,,送信成功,2026/07/16,,
株式会社コードタクト,Webアプリ・サービス運営,"イベント,IT系教育",東京都,東京都渋谷区円山町２８番４号大場ビルＡ館２階ｂ室,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://codetakt.com/,https://codetakt.form.kintoneapp.com/public/005fe4f4ef9b739d009c4fcf4d253f6dd10c3732ef6444ede1fcfe404b4e88ed,03-4446-5014,info@codetakt.com,,,送信不可,,営業禁止の記載あり,※ 問い合わせフォームからのセールス等は固くお断りいたします。送信いただいても対応いたしかねます。
ＲＥＳＴＡＲ株式会社,クラウド系/SaaS/ASPサービス,"その他金融関連サービス,その他不動産",東京都,東京都港区虎ノ門１丁目１０番５号,3: 20人以上~50人未満,,3: 10億円以上~50億円未満,https://www.restar-inc.com/company/,https://www.restar-inc.com/contact/,,contact@restar-inc.com,,,送信不可,,必須項目の入力ができない（情報不足など）,Please give an answer→役職空欄だから
